LSAT_SST,MEAN_1,Env_Clus,Area
16.46113735,2466602,1,0.178545166
16.43123056,2695673,1,0.145276379
16.49174745,2325635.231,1,0.149322136
14.49934094,1114863,4,0.109261969
14.49801386,1057486.867,4,0.203374925
14.51675919,1163354.85,4,0.244941655
14.29648199,1303082.657,4,0.222866769
14.22454436,1673960,3,0.206223371
16.40811906,2485341,1,0.27939367
16.27879189,2390792.292,1,0.298347117
16.67909671,2726358.333,1,0.235918709
16.19315325,2868795.106,1,0.292800434
16.58634483,2627204.238,1,0.277518076
16.20434626,3127111.233,1,0.271474008
16.48338768,2124565.857,1,0.357341479
16.49260359,3156074.143,1,0.31073023
16.58802583,3075034.286,2,0.098368918
16.5877874,3859294,2,0.069259847
16.35481166,4430523.6,2,0.099193105
16.19101416,4450050.563,2,0.10129069
15.99171817,4784492.964,2,0.164194887
15.84196581,4745366.783,2,0.167364247
15.94405587,4359829.149,2,0.288390529
15.63849805,4676305.792,2,0.311219308
15.75331716,4430741.766,2,0.312159075
15.43358954,4539132.585,2,0.25824144
15.55459117,4674897.667,2,0.230680621
15.71263291,4728288,2,0.06893598
14.51891736,1386791,4,0.180048148
14.31936366,1327596.727,4,0.277287514
14.4180367,481832.1296,4,0.339687392
14.64440101,1150331.87,4,0.297996986
14.47326058,561713.4783,4,0.289137589
14.66500115,1095412.318,4,0.307149974
14.06672944,2012151.58,3,0.306670939
14.34248082,893158.8367,4,0.309177013
14.00454281,2576567.589,3,0.370748234
14.03528723,1907769.708,3,0.314678513
13.99247636,2579584.361,3,0.210701576
13.99996027,2598887.415,3,0.332823647
13.99028852,2597673.796,3,0.314856715
13.96688406,2477247.787,3,0.307294598
13.9393264,2458006.615,3,0.250870148
16.28936012,3361207.311,1,0.277368503
16.64021885,2597312.545,1,0.283754794
16.15005215,2635557.469,1,0.318935467
16.9492686,2207695.175,1,0.245064624
16.04021899,3196978.292,1,0.301877528
16.90422554,2633648.778,1,0.294912213
16.04792934,3106653.72,2,0.318717998
16.74045477,2130180.4,1,0.473462277
16.86968457,3106878.925,1,0.33298315
16.36061878,4383672.885,2,0.334757943
16.88645751,3008122.741,2,0.353216019
16.04943704,4314674.023,2,0.273656884
16.46689521,4884704.327,2,0.32900508
15.7795011,4791919.538,2,0.333272309
16.23117003,4702912.585,2,0.337222301
15.53007435,4691998.319,2,0.295186818
16.15729778,3847229.545,2,0.278252257
15.33699179,4566717.75,2,0.324905556
15.95465636,4465187,2,0.322703499
15.41136546,4728288,2,0.202723221
15.59605179,4363845.224,2,0.374224131
15.85108539,3970038.889,2,0.239090686
15.57715949,3254276.538,2,0.090836151
14.26233062,1367196.063,4,0.290621881
14.49190586,1375809.382,4,0.228512482
14.1745005,614034.2549,4,0.322365364
14.30078122,505654.2553,4,0.305336657
14.66046799,1125773.755,4,0.308698957
14.16473858,1278063.041,4,0.319788014
14.67471631,1116789.083,4,0.294530393
14.33613373,3547283,3,0.180364155
14.11290313,2567191,3,0.345121977
14.03550387,2594000.231,3,0.240378719
14.47121177,953703.2667,4,0.280738473
14.44926537,987730.1765,4,0.320183978
14.17990776,3547283,3,0.070696724
14.22475568,3547283,3,0.113939313
14.17444186,2245810.939,3,0.309774402
14.11047283,2583361.396,3,0.312669957
14.28980598,3165279.323,3,0.186392393
14.32756665,3153275.03,3,0.210373999
14.04687648,2665364.019,3,0.343312281
14.05221085,2634586.623,3,0.400488345
14.1834118,2884364.971,3,0.229256383
13.95567456,2445170.476,3,0.290535223
13.87783647,2939786.508,3,0.405854298
16.32718882,3717028,1,0.276002623
16.59309351,3573546.302,1,0.304307474
16.1698485,3458486.681,1,0.293606033
17.28497569,1586696.35,1,0.246305201
15.94829432,3061503.404,1,0.317847198
15.81376933,3467920.34,2,0.30115991
17.33405814,1978209.918,1,0.322812254
17.30293591,2170687.978,1,0.290377299
15.82611706,5149340,2,0.344772252
17.22153624,2249837.089,1,0.284202849
16.98832354,1658894.111,1,0.166888284
17.26842817,2769134.559,1,0.377209583
15.79005315,3583224.766,2,0.282782794
16.83269183,4602086.103,2,0.372974296
15.69876735,4903126.8,2,0.30686916
16.64394232,4806477.563,2,0.322957562
15.54541585,4683448.5,2,0.320051901
16.59057224,3860715.574,2,0.395033364
15.33382588,4593560.038,2,0.333168201
16.26682493,4085086.406,2,0.397922674
15.28793171,4563415,2,0.272013826
15.36767796,3356662.103,2,0.257425493
16.38295774,3461332.053,2,0.358227115
15.50319522,3127060.645,2,0.384980625
15.95477957,3036393.429,2,0.318304245
15.52088344,2995551.889,2,0.174198112
14.26677185,1370673.744,4,0.288167261
13.85248959,821504.7609,4,0.288892908
14.44142958,1321612.196,4,0.285276218
14.13389993,516447.2308,4,0.339284989
14.68563163,1023346.152,4,0.290467639
14.24062648,1090988.208,4,0.308026756
14.51901314,3474400.086,3,0.215718979
14.8738869,759972.093,4,0.270478645
14.40792786,3547283,3,0.229424676
14.22932831,2253032.755,3,0.306365458
14.07979974,2607404.846,3,0.339656266
14.30281597,3547283,3,0.302178636
14.8411292,1112775.5,4,0.317575956
14.10076409,2828581,3,0.254348735
14.29729621,3547283,3,0.368418343
14.71506782,815748.6383,4,0.29987493
14.79464746,1255799.429,4,0.31304639
14.21060512,3547283,3,0.300114485
14.34629333,3062523.245,3,0.332959985
14.39443217,2522684.54,3,0.318588609
14.1792837,2493472.712,3,0.399543983
14.18796806,3110861.178,3,0.297293832
14.11796123,2623164.109,3,0.326317964
14.16566334,2924908.826,3,0.295582012
14.01677296,2641266.088,3,0.416717789
13.88350884,2851169.614,3,0.295346948
16.40276371,2542650.071,1,0.266901928
16.50099258,2590302.303,1,0.207579161
16.37019152,2365533.894,1,0.297856595
16.27619775,3168998,1,0.097139567
16.49846223,2559137.927,1,0.254851443
16.40690215,2295550.533,1,0.295447559
15.69368113,4433798.6,2,0.141603891
15.72354929,4591047.042,2,0.158154135
15.61944149,4512861,2,0.250820528
14.55235809,1115871.55,4,0.255560376
14.58889315,1203855.567,4,0.192411285
14.55028546,709141.7,4,0.311722995
14.72568247,1083798.32,4,0.311872772
14.34259555,1511699.83,4,0.301515276
14.31773686,1043142.2,4,0.293734864
13.95667171,1821804.78,3,0.314081508
13.94959974,2050940.805,3,0.261870099
13.95524419,2699053.69,3,0.185510291
13.9569398,2531199.7,3,0.194540768
13.94286763,2622940.583,3,0.153986488
13.98177399,2587289.4,3,0.136270207
15.71248529,474346.6667,4,0.200096801
15.68638604,648251.2222,4,0.20475203
15.30572849,308753.0159,4,0.416952236
15.28681587,644248.3396,4,0.352772814
15.17758912,274136.4951,4,0.638621216
15.21481619,140234.0385,4,0.328501577
15.19295682,146023.0612,4,0.327661975
14.93423143,229143.1395,4,0.258348614
16.313913,294721.9,4,0.068290033
14.82056887,140538.1864,4,0.37429933
15.62172973,3978992.215,2,0.428607558
15.246735,95174.68182,4,0.132385101
14.72871008,131867.0645,4,0.403153518
15.64646622,3369119.147,2,0.439266951
16.407722,133372.5455,5,0.079934655
16.714207,386773.9333,5,0.100412781
14.49874351,418547.8072,4,0.550346381
14.56210459,698614.2131,4,0.391836145
14.53615952,870628.234,4,0.275419271
14.40670809,928631.6029,4,0.456401414
17.2570982,326684.2941,5,0.114075525
15.73044032,2659521.262,2,0.366030501
15.16812134,85338.76923,4,0.157569954
16.03909213,1866691.114,2,0.232562411
16.51192744,529815.5357,5,0.178571288
14.66926887,1184438.93,4,0.463758067
15.51678375,3101316,2,0.487751821
14.52629141,809391.3301,4,0.647239076
14.4247208,907456.5915,4,0.463735629
14.26591664,232197.7119,4,0.384339452
16.39500256,865723.8857,5,0.235904843
15.24707726,3552614.257,2,0.244237712
14.40458302,142166.3125,4,0.417115664
16.58897854,844863.7705,5,0.387348667
15.08224307,2759138.583,3,0.211219914
14.55699405,918962.873,4,0.406639435
14.60623423,894803.614,4,0.354274975
16.093649,562872.6,5,0.076531034
14.69121397,2739294.452,3,0.384502704
14.64103224,2862200.358,3,0.522552441
15.06145086,1513688.731,3,0.355042721
16.42060039,718220.2,5,0.554309682
14.60667018,1929370.848,3,0.957185933
16.24599432,607301.5556,5,0.764779738
16.1681871,541664.8537,5,0.510347399
15.80290435,556773.5106,5,0.285574826
15.53546733,974061.5417,4,0.315255227
15.28730648,891240.625,4,0.664320539
15.14315821,919307.9535,4,0.288096872
15.21549827,692273.04,4,0.168612185
14.66505683,2636042.947,3,0.483728363
14.46942244,2302011.274,3,0.400271779
14.36907469,2823388.693,3,0.581754197
14.12519239,3271697.643,3,0.810739696
13.90380657,3310856.063,3,0.501322354
13.81271509,2245257.707,3,0.260614261
14.0733215,1390579.487,3,0.251438532
13.87341197,1744615.662,3,0.413709837
14.10337333,1358999.016,3,0.7880601
15.04080906,1599103.583,3,0.300906122
14.64568659,1618141.434,3,0.728063499
13.82826345,1809552.051,3,0.391196143
14.23875408,1636087.83,3,0.611170173
13.73731147,1748277.842,3,0.217672222
16.2987299,2964144.813,2,0.098514615
13.83404312,1825511.219,3,0.416141664
15.86002854,2780363.692,1,0.325607962
15.73243053,4803742.082,2,0.322053401
15.82611706,5149340,2,0.315914629
15.79005315,3583224.766,2,0.318409114
16.13308444,3538599.628,1,0.302273928
16.31002504,3717028,1,0.124991848
15.68388922,4780724,2,0.120857708
15.70498633,5149340,2,0.199857631
15.87234978,3258735.98,1,0.325802885
16.04298763,3229890.222,1,0.283378675
16.227709,3717028,1,0.100168416
